TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Roll,Pitch,Yaw,C1,C2,C3,C4,TimeSec,dot_GyrX,dot_GyrY,dot_GyrZ
66839087,0.0011423947289586067,0.0009005351457744837,0.000718012684956193,-0.0010227658785879612,-0.0035048569552600384,-9.818541526794434,0.0012055928697186679,0.0009861154964940005,6.188749082293159,1000.0,1000.0,1000.0,1000.0,1.19952,0.0007020600326247475,-0.0010793296443786654,-0.00034465518270042697
66879071,0.000973587273620069,0.0008770662825554609,0.0008674193522892892,-0.002320843283087015,-0.0013417841400951147,-9.816983222961426,0.0012055928697186679,0.0009861154964940005,6.188749082293159,1000.0,1000.0,1000.0,1000.0,1.239504,-0.0018860918425751012,0.0013318088674480286,0.0035883500213723975
66919055,0.000991567736491561,0.0010070372372865677,0.001004965859465301,-0.00010751670924946666,-0.0009821373969316483,-9.816965103149414,0.0012055928697186679,0.0009861154964940005,6.188749082293159,1000.0,1000.0,1000.0,1000.0,1.279488,-0.0005707870830646486,0.0019025246175948893,0.0008978601573046297
66959039,0.0009279425721615553,0.0010292073711752892,0.0009392194333486259,-0.0012111105024814606,-0.000581898377276957,-9.816072463989258,0.0012054100374680502,0.0009869100235574957,6.188720852785604,1000.0,1000.0,1000.0,1000.0,1.319472,-0.0005489366457276969,-0.0005700555567138815,0.0004541941568301632
66999023,0.0009476703708060086,0.000961451034527272,0.0010412868577986956,-0.00133711367379874,-0.0011888234876096249,-9.817532539367676,0.0012054100374680502,0.0009869100235574957,6.188720852785604,1000.0,1000.0,1000.0,1000.0,1.359456,-0.00017818252924370684,-0.0014082490769071563,-0.0005315750115035319
67039840,0.0009124147472903132,0.0009159014443866909,0.0008910757023841143,-0.001093234634026885,-0.00016138600767590106,-9.818735122680664,0.0012096658937256729,0.0009901807182712493,6.188691558013613,1000.0,1000.0,1000.0,1000.0,1.400273,0.001174222671408636,-0.002109478132817229,-0.0010028017371803873
67079824,0.0010391881223767996,0.0007926414255052805,0.0009558445890434086,-0.0003995211736764759,0.001210695132613182,-9.81466293334961,0.0012096658937256729,0.0009901807182712493,6.188691558013613,1000.0,1000.0,1000.0,1000.0,1.440257,0.0010366550902565982,0.0007003240223296264,0.000642083606504959
67119808,0.0009953139815479517,0.000971904955804348,0.0009424218442291021,-0.00024057397968135774,-0.0008682808256708086,-9.818117141723633,0.0012096658937256729,0.0009901807182712493,6.188691558013613,1000.0,1000.0,1000.0,1000.0,1.480241,-0.0017802847446646442,0.0016313110410767617,-0.0013914264453181464
67159792,0.0008968223119154572,0.0009230941068381071,0.0008445749990642071,-0.001299911760725081,-0.00046344264410436153,-9.818207740783691,0.0012072457720924959,0.0009868961745996788,6.188673981150418,1000.0,1000.0,1000.0,1000.0,1.520225,-0.0009957958861034639,0.0003196471719210652,-0.0005126274626876485
67199776,0.0009156821761280298,0.0009974665008485317,0.0009014280512928963,-0.0005433894693851471,-0.0003454489924479276,-9.816972732543945,0.0012072457720924959,0.0009868961745996788,6.188673981150418,1000.0,1000.0,1000.0,1000.0,1.560209,0.00017369856635684848,0.0007306761788476376,0.0014376407135136358
67239760,0.0009107126388698816,0.000981524819508195,0.0009595402516424656,-0.0005452376208268106,-0.000659308978356421,-9.81804084777832,0.001205936167827936,0.0009897702559674977,6.188648414803954,1000.0,1000.0,1000.0,1000.0,1.600193,0.0005445372972062729,-0.0012857052380637994,0.0009731891742605966
67279744,0.0009592277347110212,0.0008946512243710458,0.0009792520431801677,-0.0002455906942486763,-0.0008926575537770987,-9.817334175109863,0.001205936167827936,0.0009897702559674977,6.188648414803954,1000.0,1000.0,1000.0,1000.0,1.640177,0.0008415624716592296,-0.0004331240142673616,-0.0008873633000863277
67319728,0.000978010706603527,0.0009468887583352625,0.000888579583261162,-0.0009326442959718406,-0.0003938301815651357,-9.817804336547852,0.001205936167827936,0.0009897702559674977,6.188648414803954,1000.0,1000.0,1000.0,1000.0,1.680161,-0.001901472821001001,0.0005186638288835685,-0.0019053095129362135
67359712,0.0008071707561612129,0.0009361277334392071,0.0008268882520496845,-0.0004111601156182587,-0.00026865076506510377,-9.81849193572998,0.001204526695022498,0.0009865537867505489,6.188620185296399,1000.0,1000.0,1000.0,1000.0,1.720145,0.00016327231416941694,-7.211248467334577e-05,0.0014780755595946177
