TimeUS,GyrX,GyrY,GyrZ,Roll,Pitch,Yaw,C1,C2,C3,C4,TimeSec
65959439,0.0009462313610129058,0.0009425298194400966,0.0008893839549273252,0.0684637725353241,0.05602400377392769,354.6050720214844,1000.0,1000.0,1000.0,1000.0,0.319872
65959439,0.000831148587167263,0.0007439146284013987,0.0010387994116172194,0.0684637725353241,0.05602400377392769,354.6050720214844,1000.0,1000.0,1000.0,1000.0,0.319872
65999423,0.0007743966416455805,0.0009492002427577972,0.0009424060699529946,0.0684637725353241,0.05602400377392769,354.6050720214844,1000.0,1000.0,1000.0,1000.0,0.359856
65999423,0.0009513106197118759,0.0009484808542765677,0.0008660210878588259,0.0684637725353241,0.05602400377392769,354.6050720214844,1000.0,1000.0,1000.0,1000.0,0.359856
66039407,0.0008250070386566222,0.0009690664010122418,0.0009089608211070299,0.06865876913070679,0.05639171972870827,354.6032409667969,1000.0,1000.0,1000.0,1000.0,0.39984
66039407,0.00102613540366292,0.0007461311179213226,0.0008025923161767423,0.06865876913070679,0.05639171972870827,354.6032409667969,1000.0,1000.0,1000.0,1000.0,0.39984
66079391,0.0009204379748553038,0.0009262104285880923,0.000886155292391777,0.06865876913070679,0.05639171972870827,354.6032409667969,1000.0,1000.0,1000.0,1000.0,0.439824
66079391,0.0009395402739755809,0.0010505930986255407,0.0008589237695559859,0.06865876913070679,0.05639171972870827,354.6032409667969,1000.0,1000.0,1000.0,1000.0,0.439824
66119375,0.0009644812089391053,0.0008503121789544821,0.0009288769215345383,0.06865876913070679,0.05639171972870827,354.6032409667969,1000.0,1000.0,1000.0,1000.0,0.479808
66119375,0.0008620161679573357,0.0009236159385181963,0.001083160168491304,0.06865876913070679,0.05639171972870827,354.6032409667969,1000.0,1000.0,1000.0,1000.0,0.479808
66159359,0.0008954672957770526,0.0009796828962862492,0.0009329315507784486,0.06867565214633942,0.05611401051282883,354.6013488769531,1000.0,1000.0,1000.0,1000.0,0.519792
66159359,0.0010400682222098112,0.0007828307570889592,0.0008008279837667942,0.06867565214633942,0.05611401051282883,354.6013488769531,1000.0,1000.0,1000.0,1000.0,0.519792
66199343,0.0008402668754570186,0.0008251252002082765,0.0009424585732631385,0.06867565214633942,0.05611401051282883,354.6013488769531,1000.0,1000.0,1000.0,1000.0,0.559776
66199343,0.0008740518242120743,0.0009724949486553669,0.0009442983428016305,0.06867565214633942,0.05611401051282883,354.6013488769531,1000.0,1000.0,1000.0,1000.0,0.559776
66239327,0.0009204378584399819,0.0009381517884321511,0.0010089183924719691,0.06892485916614532,0.05639110505580902,354.59991455078125,1000.0,1000.0,1000.0,1000.0,0.59976
66239327,0.0010069254785776138,0.0008768420084379613,0.0008847684366628528,0.06892485916614532,0.05639110505580902,354.59991455078125,1000.0,1000.0,1000.0,1000.0,0.59976
